FinalScene Render耗时: 42.988335816s
FinalScene Render耗时: 50.350308137s
FinalScene Render耗时: 52.962574743s
FinalScene2 Render耗时: 14.984268763s
FinalScene2 Render耗时: 22.341932114s
FinalScene2 Render耗时: 9.673445295s
FinalScene2 Render耗时: 6.457676101s
FinalScene2 Render耗时: 29.200574455s
FinalScene2 Render耗时: 23.370094573s
FinalScene2 Render耗时: 23.534064311s
FinalScene2 Render耗时: 22.924000774s
FinalScene2 Render耗时: 24.211200022s
FinalScene2 Render耗时: 23.627601762s
FinalScene2 Render耗时: 26.548434136s
FinalScene2 Render耗时: 23.370336616s
FinalScene2 Render耗时: 24.749535811s
FinalScene2 Render耗时: 25.832778809s
FinalScene2 Render耗时: 19.234353411s
FinalScene2 Render耗时: 5.781314623s
FinalScene2 Render耗时: 5.698341136s
FinalScene2 Render耗时: 4.736267455s
FinalScene2 Render耗时: 4.874260041s
FinalScene2 Render耗时: 4.746645124s
FinalScene2 Render耗时: 47.319664971s
FinalScene2 Render耗时: 16.858365378s
FinalScene2 Render耗时: 5.084174653s
FinalScene2 Render耗时: 7.529392163s
FinalScene2 Render耗时: 10.92289304s
FinalScene2 Render耗时: 11.748831679s
FinalScene2 Render耗时: 10.476773542s
FinalScene2 Render耗时: 10.687161826s
FinalScene2 Render耗时: 11.314566752s
FinalScene2 Render耗时: 9.888851036s
FinalScene2 Render耗时: 11.433310818s
FinalScene2 Render耗时: 10.175637467s
FinalScene2 Render耗时: 12.413473148s
FinalScene2 Render耗时: 13.534245721s
FinalScene2 Render耗时: 36.703793558s
FinalScene2 Render耗时: 33.546080242s
FinalScene2 Render耗时: 37.559295208s
FinalScene Render耗时: 79.447582333s
FinalScene2 Render耗时: 146.032471294s
FinalScene2 Render耗时: 145.073992796s
FinalScene2 Render耗时: 171.26442997s
FinalScene2 Render耗时: 147.147098249s
FinalScene2 Render耗时: 149.233873373s
FinalScene2 Render耗时: 149.055397024s
FinalScene2 Render耗时: 141.309107579s
FinalScene2 Render耗时: 153.640234935s
FinalScene2 Render耗时: 145.380142634s
FinalScene2 Render耗时: 117.498863812s
FinalScene2 Render耗时: 108.216071284s
FinalScene2 Render耗时: 1092.490197111s
FinalScene2 Render耗时: 1118.871384988s
